  mype,      init,   an2filt,    vfiltT,    upsend,    hfiltT,    weight,     hfilt,    dnsend,     vfilt,   filt2an,    output,     total
     0,    1.1154,    7.1373,    0.7417,    0.7888,    2.1486,    0.1171,    1.5102,    0.8840,    0.6958,    3.7945,    0.1972,   19.2339
     1,    1.0768,    7.1056,    0.7570,    0.8545,    2.1588,    0.1172,    1.5077,    0.8637,    0.6940,    3.6386,    0.3288,   19.1772
     2,    1.0902,    7.1466,    0.7402,    0.8097,    2.1841,    0.1173,    1.5099,    0.8360,    0.6918,    3.8492,    0.1423,   19.2206
     3,    1.0363,    7.1300,    0.7585,    0.8786,    2.1560,    0.1172,    1.5078,    0.8278,    0.6963,    3.6714,    0.3145,   19.1694
     4,    1.1130,    7.0458,    0.7463,    0.8978,    2.1460,    0.1194,    1.5133,    0.8274,    0.6839,    3.8246,    0.1962,   19.2208
     5,    1.0449,    7.1249,    0.7565,    0.8999,    2.1314,    0.1171,    1.4978,    0.8226,    0.6962,    3.6803,    0.3328,   19.1784
     6,    1.1075,    7.1439,    0.7385,    0.8083,    2.1788,    0.1171,    1.4614,    0.8392,    0.6939,    3.8020,    0.2323,   19.2266
     7,    1.0422,    7.1378,    0.7549,    0.8818,    2.1486,    0.1172,    1.4594,    0.8514,    0.6958,    3.6501,    0.3574,   19.1705
     8,    1.0997,    7.0910,    0.7444,    0.8751,    2.1730,    0.1172,    1.4602,    0.8229,    0.6953,    3.8129,    0.2179,   19.2156
     9,    1.0369,    7.1195,    0.7558,    0.9137,    2.1494,    0.1171,    1.4573,    0.7918,    0.6842,    3.7099,    0.3583,   19.1677
    10,    1.1089,    7.1326,    0.7422,    0.8147,    2.1736,    0.1172,    1.5674,    0.6903,    0.6897,    3.8180,    0.2638,   19.2233
    11,    1.0348,    7.1299,    0.7533,    0.8851,    2.1879,    0.1171,    1.5687,    0.6733,    0.6921,    3.6563,    0.3924,   19.1654
    12,    1.1021,    6.8856,    0.7319,    1.0909,    2.2104,    0.1173,    1.5684,    0.6474,    0.6743,    3.8746,    0.2101,   19.2163
    13,    1.0377,    6.8985,    0.7162,    1.1700,    2.1888,    0.1170,    1.5719,    0.6578,    0.6949,    3.6574,    0.3832,   19.1666
    14,    1.1170,    7.0185,    0.7391,    0.9466,    2.1777,    0.1170,    1.5667,    0.6698,    0.6861,    3.8135,    0.2575,   19.2171
    15,    1.0449,    7.1461,    0.7534,    0.8929,    2.1639,    0.1171,    1.5628,    0.6276,    0.6790,    3.7308,    0.3758,   19.1684
    16,    1.1497,    7.0823,    0.7630,    0.8231,    2.1970,    0.1173,    1.5299,    0.6393,    0.6881,    3.8708,    0.2879,   19.2537
    17,    1.0508,    7.2303,    0.7604,    0.7919,    2.1791,    0.1172,    1.5216,    0.6185,    0.6864,    3.7343,    0.4033,   19.1663
    18,    1.1576,    7.1951,    0.7457,    0.7344,    2.2042,    0.1192,    1.5284,    0.5886,    0.6795,    3.8662,    0.3355,   19.2558
    19,    1.0554,    7.2389,    0.7568,    0.7981,    2.1792,    0.1172,    1.5244,    0.6051,    0.6803,    3.6802,    0.3987,   19.1066
    20,    1.1352,    7.1414,    0.7584,    0.7349,    2.2441,    0.1171,    1.6350,    0.6737,    0.6874,    3.8803,    0.1430,   19.2525
    21,    1.0462,    7.1666,    0.7675,    0.8050,    2.2018,    0.1172,    1.6846,    0.6506,    0.6890,    3.7681,    0.1915,   19.1601
    22,    1.1502,    7.1200,    0.7580,    0.7639,    2.2723,    0.1186,    1.6313,    0.6209,    0.6887,    3.9403,    0.0800,   19.2469
    23,    1.0474,    7.1584,    0.7696,    0.8332,    2.2508,    0.1172,    1.6378,    0.6056,    0.6966,    3.7930,    0.1812,   19.1632
    24,    1.1335,    7.0643,    0.7553,    0.8262,    2.2662,    0.1172,    1.5932,    0.6577,    0.6936,    3.9411,    0.0952,   19.2489
    25,    1.0510,    7.1557,    0.7669,    0.8278,    2.2481,    0.1172,    1.5954,    0.6339,    0.6997,    3.8096,    0.1490,   19.1266
    26,    1.1447,    7.1321,    0.7576,    0.7612,    2.2251,    0.1172,    1.6044,    0.6479,    0.6910,    3.9707,    0.0901,   19.2448
    27,    1.0520,    7.1669,    0.7674,    0.8307,    2.1977,    0.1172,    1.5095,    0.7588,    0.6968,    3.7792,    0.2159,   19.1647
    28,    1.1404,    7.0893,    0.7583,    0.8216,    2.2163,    0.1171,    1.5185,    0.7296,    0.6883,    3.9408,    0.1255,   19.2505
    29,    1.0549,    7.1390,    0.7687,    0.8611,    2.1947,    0.1171,    1.5236,    0.6843,    0.6879,    3.8410,    0.2149,   19.1599
    30,    1.1504,    7.1214,    0.7574,    0.7642,    2.1968,    0.1186,    1.5582,    0.6807,    0.6856,    3.9532,    0.1646,   19.2535
    31,    1.0477,    7.1577,    0.7688,    0.8315,    2.2013,    0.1172,    1.5716,    0.6645,    0.6945,    3.7989,    0.2342,   19.1604
    32,    1.1131,    6.9357,    0.7434,    1.0411,    2.1953,    0.1186,    1.5678,    0.6642,    0.7003,    3.9554,    0.0859,   19.2239
    33,    1.0765,    6.9058,    0.7206,    1.1345,    2.1741,    0.1176,    1.5689,    0.6782,    0.6891,    3.7714,    0.2621,   19.1705
    34,    1.0841,    6.8883,    0.7354,    1.1041,    2.2084,    0.1171,    1.5491,    0.6825,    0.6996,    3.9367,    0.1025,   19.2113
    35,    1.0518,    7.1405,    0.7514,    0.8817,    2.1854,    0.1175,    1.5520,    0.6386,    0.6824,    3.8219,    0.2727,   19.1682
    36,    1.0973,    7.1537,    0.7424,    0.8350,    2.1981,    0.1171,    1.5887,    0.5853,    0.6897,    3.9062,    0.1919,   19.2093
    37,    1.0456,    7.2422,    0.7394,    0.8154,    2.1735,    0.1177,    1.6308,    0.5182,    0.6724,    3.7759,    0.3661,   19.1690
    38,    1.0951,    7.2705,    0.7392,    0.7388,    2.1922,    0.1170,    1.6345,    0.4968,    0.6886,    3.9402,    0.1986,   19.2133
    39,    1.0446,    7.2558,    0.7390,    0.8141,    2.1707,    0.1176,    1.6354,    0.5078,    0.6750,    3.7587,    0.3775,   19.1679
    40,    1.1321,    7.1132,    0.7422,    0.7854,    2.2185,    0.1172,    1.5069,    0.8121,    0.7011,    3.8581,    0.1212,   19.2110
